METRIC,composite,P2020,P2016,S2018,S2016,G2020,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.427916,0.421642,0.401814,0.470017,0.485392,0.416084,0.389379,0.430721,0.015679,0.036402,-0.002805,-0.006512,-0.178902
Sf,0.262200,0.270255,0.251460,0.301185,0.298732,0.261898,0.250500,0.272338,0.009228,0.033884,-0.010138,-0.037226,-1.098613
EG,0.093632,0.073029,0.052168,0.138849,0.172052,0.070270,0.028258,0.089104,0.022386,0.251235,0.004528,0.050817,0.202269
PR,0.165716,0.151387,0.150354,0.168832,0.186660,0.154186,0.138879,0.158383,0.006880,0.043439,0.007333,0.046299,1.065843
GAMMA,0.197911,0.168837,0.233134,0.156016,0.174423,0.191639,0.232007,0.192676,0.013454,0.069827,0.005235,0.027170,0.389104
BS_50,0.148836,0.133459,0.161600,0.148355,0.170543,0.138626,0.152505,0.150848,0.005669,0.037581,-0.002012,-0.013338,-0.354913
BV_50,0.050489,0.051116,0.051319,0.052080,0.045800,0.049308,0.047724,0.049558,0.000991,0.019997,0.000931,0.018786,0.939455
BS_V,0.063712,0.045980,-0.015677,0.137484,0.164902,0.024302,-0.057237,0.049959,0.035283,0.706239,0.013753,0.275286,0.389791
GS,0.074482,0.073493,0.082760,0.065369,0.061924,0.074729,0.082571,0.073474,0.003510,0.047772,0.001008,0.013719,0.287179
MM,0.077891,0.082618,0.084098,0.070389,0.056946,0.080141,0.080975,0.075861,0.004265,0.056221,0.002030,0.026759,0.475967
LO,0.030524,0.020192,-0.002797,0.062778,0.085772,0.013283,-0.021959,0.026212,0.016583,0.632649,0.004312,0.164505,0.260025
DECL,32.070353,29.692808,29.300767,31.595157,35.280714,29.847388,26.930624,30.441243,1.144406,0.037594,1.629110,0.053517,1.423542
R,3.298922,2.931990,2.531320,6.630923,13.777917,2.837387,2.255446,5.160831,1.845147,0.357529,-1.861909,-0.360777,-1.009084
r,0.553368,0.777297,0.156910,1.427433,1.837657,0.553682,0.158135,0.818519,0.280184,0.342306,-0.265151,-0.323940,-0.946346
Sb,0.262200,0.270255,0.251460,0.301185,0.298732,0.261898,0.250500,0.272338,0.009228,0.033884,-0.010138,-0.037226,-1.098613
Ra,0.631100,0.635128,0.625730,0.650593,0.649366,0.630949,0.625250,0.636169,0.004614,0.007253,-0.005069,-0.007968,-1.098613
Rb,0.131100,0.135128,0.125730,0.150593,0.149366,0.130949,0.125250,0.136169,0.004614,0.033884,-0.005069,-0.037226,-1.098613
Va,0.666890,0.676089,0.695733,0.628704,0.601069,0.677359,0.704771,0.663954,0.016533,0.024901,0.002936,0.004422,0.177584
Vb,0.302586,0.303719,0.307064,0.308519,0.313159,0.309358,0.317188,0.309835,0.001934,0.006242,-0.007249,-0.023396,-3.748190
L_Vf,0.405000,0.400000,0.380000,0.450000,0.465000,0.395000,0.365000,0.409167,0.016198,0.039588,-0.004167,-0.010184,-0.257254
L_Sf,0.252554,0.256491,0.246554,0.276745,0.272906,0.252364,0.243425,0.258081,0.005630,0.021815,-0.005527,-0.021416,-0.981705
U_Vf,0.450000,0.445000,0.425000,0.495000,0.510000,0.440000,0.410000,0.454167,0.016198,0.035665,-0.004167,-0.009175,-0.257254
U_Sf,0.278487,0.291613,0.256801,0.341933,0.356850,0.279018,0.253806,0.296670,0.017734,0.059777,-0.018183,-0.061290,-1.025319
