METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2019,METRIC,AG2019
Vf,0.431865,Vf,0.416150,Vf,0.409102,Vf,0.449224,Vf,0.402936,Vf,0.474233,Vf,0.421713
Sf,0.250587,Sf,0.250145,Sf,0.249926,Sf,0.251988,Sf,0.249123,Sf,0.267426,Sf,0.250004
EG,0.113143,EG,0.082155,EG,0.068278,EG,0.146460,EG,0.056749,EG,0.181040,EG,0.093422
PR,0.181278,PR,0.166005,PR,0.159176,PR,0.197236,PR,0.153813,PR,0.206807,PR,0.171709
GAMMA,0.245442,GAMMA,0.246904,GAMMA,0.247834,GAMMA,0.241739,GAMMA,0.242109,GAMMA,0.212372,GAMMA,0.247188
BS_50,0.196596,BS_50,0.185131,BS_50,0.201694,BS_50,0.198471,BS_50,0.196322,BS_50,0.189964,BS_50,0.201682
BV_50,0.042696,BV_50,0.039296,BV_50,0.044684,BV_50,0.041265,BV_50,0.040039,BV_50,0.043853,BV_50,0.043816
BS_V,0.032592,BS_V,-0.030692,BS_V,-0.036978,BS_V,0.089232,BS_V,-0.072636,BS_V,0.165170,BS_V,-0.003531
GS,0.068636,GS,0.069692,GS,0.075449,GS,0.065708,GS,0.071132,GS,0.056312,GS,0.069749
MM,0.061238,MM,0.058140,MM,0.065692,MM,0.058708,MM,0.065269,MM,0.055659,MM,0.066649
LO,-0.003792,LO,-0.027222,LO,0.000000,LO,0.030243,LO,0.000000,LO,0.046800,LO,-0.031810
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,3.660566,R,2.979780,R,2.751149,R,4.884430,R,2.584656,R,9.026031,R,3.193322
r,0.058279,r,0.035186,r,0.024639,r,0.123540,r,0.090335,r,0.784032,r,0.035868
Sb,0.250587,Sb,0.250145,Sb,0.249926,Sb,0.251988,Sb,0.249123,Sb,0.267426,Sb,0.250004
Ra,0.625294,Ra,0.625073,Ra,0.624963,Ra,0.625994,Ra,0.624561,Ra,0.633713,Ra,0.625002
Rb,0.125294,Rb,0.125073,Rb,0.124963,Rb,0.125994,Rb,0.124561,Rb,0.133713,Rb,0.125002
Va,0.645864,Va,0.658895,Va,0.674973,Va,0.623260,Va,0.672521,Va,0.602262,Va,0.657871
Vb,0.357928,Vb,0.368326,Vb,0.368884,Vb,0.346498,Vb,0.392650,Vb,0.350939,Vb,0.373939
L_Vf,0.410000,L_Vf,0.395000,L_Vf,0.385000,L_Vf,0.425000,L_Vf,0.380000,L_Vf,0.450000,L_Vf,0.400000
L_Sf,0.249387,L_Sf,0.248477,L_Sf,0.247659,L_Sf,0.250042,L_Sf,0.241413,L_Sf,0.254810,L_Sf,0.247692
U_Vf,0.455000,U_Vf,0.440000,U_Vf,0.430000,U_Vf,0.470000,U_Vf,0.425000,U_Vf,0.495000,U_Vf,0.445000
U_Sf,0.253859,U_Sf,0.251899,U_Sf,0.250380,U_Sf,0.259114,U_Sf,0.249991,U_Sf,0.298462,U_Sf,0.251470
