Vf,G2020
0.250,0.000002
0.255,0.000004
0.260,0.000008
0.265,0.000015
0.270,0.000029
0.275,0.000054
0.280,0.000097
0.285,0.000172
0.290,0.000296
0.295,0.000497
0.300,0.000815
0.305,0.001304
0.310,0.002037
0.315,0.003106
0.320,0.004627
0.325,0.006734
0.330,0.009582
0.335,0.013334
0.340,0.018154
0.345,0.024197
0.350,0.031591
0.355,0.040426
0.360,0.050741
0.365,0.062515
0.370,0.075670
0.375,0.090066
0.380,0.105523
0.385,0.121825
0.390,0.138747
0.395,0.156072
0.400,0.173606
0.405,0.191194
0.410,0.208723
0.415,0.226127
0.420,0.243377
0.425,0.260471
0.430,0.277428
0.435,0.294268
0.440,0.311011
0.445,0.327662
0.450,0.344212
0.455,0.360640
0.460,0.376915
0.465,0.392998
0.470,0.408855
0.475,0.424455
0.480,0.439778
0.485,0.454816
0.490,0.469575
0.495,0.484070
0.500,0.498324
0.505,0.512365
0.510,0.526221
0.515,0.539919
0.520,0.553475
0.525,0.567555
0.530,0.582741
0.535,0.598241
0.540,0.613991
0.545,0.629923
0.550,0.645969
0.555,0.662068
0.560,0.678170
0.565,0.694237
0.570,0.710251
0.575,0.726208
0.580,0.742117
0.585,0.757999
0.590,0.773879
0.595,0.789775
0.600,0.805699
0.605,0.821637
0.610,0.837552
0.615,0.853374
0.620,0.868999
0.625,0.884288
0.630,0.899081
0.635,0.913199
0.640,0.926464
0.645,0.938710
0.650,0.949800
0.655,0.959638
0.660,0.968176
0.665,0.975415
0.670,0.981408
0.675,0.986248
0.680,0.990058
0.685,0.992979
0.690,0.995160
0.695,0.996745
0.700,0.997865
0.705,0.998635
0.710,0.999150
0.715,0.999484
0.720,0.999695
0.725,0.999825
0.730,0.999902
0.735,0.999947
0.740,0.999972
0.745,0.999985
0.750,0.999993
