Vf,P2020
0.250,0.003014
0.255,0.004737
0.260,0.007169
0.265,0.010460
0.270,0.014734
0.275,0.020066
0.280,0.026461
0.285,0.033848
0.290,0.042078
0.295,0.050937
0.300,0.060167
0.305,0.069495
0.310,0.078651
0.315,0.087396
0.320,0.095534
0.325,0.102921
0.330,0.109470
0.335,0.115149
0.340,0.119979
0.345,0.124031
0.350,0.127416
0.355,0.130277
0.360,0.132781
0.365,0.135106
0.370,0.137435
0.375,0.139943
0.380,0.142801
0.385,0.146160
0.390,0.150161
0.395,0.154925
0.400,0.160552
0.405,0.167127
0.410,0.174710
0.415,0.183341
0.420,0.193037
0.425,0.203796
0.430,0.215592
0.435,0.228380
0.440,0.242100
0.445,0.256673
0.450,0.272008
0.455,0.288003
0.460,0.304266
0.465,0.319564
0.470,0.335464
0.475,0.351895
0.480,0.368780
0.485,0.386036
0.490,0.403583
0.495,0.421345
0.500,0.439261
0.505,0.457280
0.510,0.475375
0.515,0.493537
0.520,0.511783
0.525,0.530148
0.530,0.548688
0.535,0.567469
0.540,0.586562
0.545,0.606033
0.550,0.625936
0.555,0.646299
0.560,0.667123
0.565,0.688368
0.570,0.709959
0.575,0.731781
0.580,0.753686
0.585,0.775499
0.590,0.797026
0.595,0.818064
0.600,0.838412
0.605,0.857880
0.610,0.876295
0.615,0.893508
0.620,0.909399
0.625,0.923880
0.630,0.936893
0.635,0.948419
0.640,0.958471
0.645,0.967092
0.650,0.974360
0.655,0.980373
0.660,0.985252
0.665,0.989131
0.670,0.992150
0.675,0.994447
0.680,0.996156
0.685,0.997397
0.690,0.998277
0.695,0.998886
0.700,0.999296
0.705,0.999566
0.710,0.999739
0.715,0.999847
0.720,0.999912
0.725,0.999951
0.730,0.999973
0.735,0.999986
0.740,0.999993
0.745,0.999996
0.750,0.999998
